iter	Passed	Remaining
0	2618	782952
1	4822	718599
2	6886	681766
3	9271	686084
4	11541	680931
5	13895	680895
6	16018	670504
7	18203	664424
8	20320	657013
9	22375	648886
10	24385	640676
11	26755	642142
12	28813	636118
13	30896	631173
14	32916	625420
15	35138	623702
16	37200	619273
17	39424	617653
18	41831	618659
19	44171	618400
20	46568	618696
21	48835	617103
22	51114	615591
23	53183	611606
24	55151	606664
25	57300	603855
26	59547	602094
27	61610	598498
28	63752	595756
29	65807	592271
30	67973	589831
31	70111	587180
32	72247	584544
33	74443	582408
34	76698	580718
35	78989	579259
36	81249	577530
37	83321	574480
38	85399	571517
39	87464	568521
40	89443	565019
41	91548	562368
42	93599	559421
43	95570	556048
44	97978	555211
45	100205	553309
46	102385	551138
47	104599	549149
48	106682	546473
49	108868	544342
50	111347	543635
51	113804	542761
52	116243	541737
53	118669	540603
54	121067	539300
55	123416	537742
56	125625	535561
57	127807	533266
58	129959	530851
59	132170	528683
60	134197	525789
61	136285	523160
62	138570	521289
63	140682	518766
64	142940	516783
65	145238	514936
66	147391	512570
67	149724	510826
68	151848	508362
69	154174	506573
70	156178	503730
71	158216	501020
72	160530	499185
73	162626	496670
74	164658	493976
75	166719	491382
76	169024	489512
77	171255	487418
78	173560	485529
79	175883	483679
80	178341	482181
81	181002	481202
82	183607	480033
83	186150	478671
84	188281	476242
85	190506	474050
86	192797	472021
87	194879	469481
88	197028	467112
89	199198	464797
90	201367	462480
91	203530	460156
92	205747	457954
93	207956	455734
94	210303	453812
95	212529	451626
96	214755	449437
97	217021	447329
98	219182	445006
99	221316	442633
100	223444	440251
101	225636	438000
102	227791	435679
103	230028	433515
104	232381	431566
105	234508	429195
106	236614	426789
107	238566	424119
108	240781	421920
109	243007	419740
110	245343	417747
111	247656	415709
112	249898	413548
113	252154	411409
114	254378	409218
115	256525	406903
116	258541	404385
117	260655	402028
118	262769	399675
119	264815	397223
120	266881	394807
121	269002	392479
122	271164	390212
123	273350	387982
124	275434	385608
125	277580	383325
126	279702	381011
127	281925	378837
128	284054	376537
129	286152	374198
130	288191	371789
131	290388	369585
132	292624	367430
133	294795	365194
134	296944	362932
135	298999	360558
136	301217	358382
137	303312	356062
138	305420	353760
139	307576	351516
140	309758	349302
141	311946	347095
142	314370	345148
143	316597	342981
144	318893	340886
145	320941	338527
146	322973	336156
147	325076	333862
148	327271	331664
149	329403	329403
150	331478	327087
151	333538	324761
152	335642	322479
153	337713	320170
154	339900	317971
155	342037	315726
156	344280	313579
157	346563	311468
158	348847	309355
159	351048	307167
160	353163	304905
161	355369	302721
162	357993	300890
163	360344	298822
164	362523	296609
165	364855	294522
166	367256	292485
167	369714	290489
168	371926	288298
169	374168	286129
170	376272	283854
171	378630	281771
172	380929	279641
173	383186	277479
174	385601	275429
175	387867	273270
176	390180	271142
177	392472	268998
178	394861	266917
179	397108	264739
180	399266	262501
181	401610	260385
182	403937	258255
183	406020	255969
184	408160	253721
185	410325	251490
186	412541	249289
187	414744	247081
188	416836	244808
189	419355	242784
190	421812	240720
191	424267	238650
192	426698	236563
193	428832	234310
194	431013	232084
195	433223	229873
196	435630	227766
197	437934	225602
198	440143	223389
199	442328	221164
200	444690	219026
201	447057	216889
202	449681	214872
203	451928	212672
204	454378	210565
205	456673	208385
206	459192	206303
207	461416	204087
208	463717	201905
209	465945	199690
210	468062	197429
211	470362	195244
212	472756	193097
213	475192	190965
214	477428	188750
215	479763	186574
216	482094	184395
217	484412	182210
218	486734	180025
219	488804	177746
220	490935	175492
221	493113	173255
222	495596	171125
223	497985	168959
224	500330	166776
225	502479	164528
226	504685	162299
227	506975	160097
228	509105	157844
229	511321	155619
230	513731	153452
231	516082	151265
232	518291	149036
233	520475	146800
234	522752	144591
235	525015	142377
236	527310	140171
237	529597	137962
238	531672	135698
239	533840	133460
240	536103	131245
241	538400	129038
242	540594	126806
243	542888	124597
244	545219	122396
245	547757	120239
246	550312	118083
247	552820	115913
248	555086	113692
249	557258	111451
250	559620	109248
251	561902	107029
252	564048	104783
253	566258	102550
254	568516	100326
255	570789	98104
256	572927	95859
257	575212	93639
258	577537	91424
259	579910	89217
260	582235	87000
261	584359	84754
262	586548	82518
263	588766	80286
264	590989	78055
265	593213	75824
266	595349	73582
267	597539	71347
268	599788	69120
269	602071	66896
270	604249	64661
271	606454	62429
272	608764	60207
273	611058	57983
274	613184	55744
275	615392	53512
276	617732	51291
277	620129	49074
278	622398	46847
279	624633	44616
280	626784	42380
281	629054	40152
282	631369	37926
283	633616	35696
284	635713	33458
285	638023	31231
286	640356	29005
287	642644	26776
288	644945	24548
289	647257	22319
290	649554	20089
291	651807	17857
292	654131	15627
293	656401	13395
294	658543	11161
295	660928	8931
296	663178	6698
297	665373	4465
298	667482	2232
299	669770	0
